,gloss,spoken,combined
331,우회전 차내리다,우회전하고 내려주세요.,우회전 차내리다우회전하고 내려주세요.
332,우회전 차내리다 ?,우회전해서 내려드릴까요?,우회전 차내리다 ?우회전해서 내려드릴까요?
333,좌회전 차내리다,좌회전하고 내려주세요.,좌회전 차내리다좌회전하고 내려주세요.
334,좌회전 차내리다 ?,좌회전해서 내려드릴까요?,좌회전 차내리다 ?좌회전해서 내려드릴까요?
335,신호등 횡단보도 건너다,횡단보도 지나서 내려주세요.,신호등 횡단보도 건너다횡단보도 지나서 내려주세요.
336,신호등 횡단보도 여기 ?,횡단보도 지나서요?,신호등 횡단보도 여기 ?횡단보도 지나서요?
337,지름길 차내리다,골목 들어가서 세워주세요.,지름길 차내리다골목 들어가서 세워주세요.
338,지름길 차내리다 ?,골목 들어가서 내려드릴까요?,지름길 차내리다 ?골목 들어가서 내려드릴까요?
339,지름길 내리다,골목 들어가서 세워주세요.,지름길 내리다골목 들어가서 세워주세요.
340,지름길 내리다 ?,골목 들어가서 내려드릴까요?,지름길 내리다 ?골목 들어가서 내려드릴까요?
346,지하철 계단 곳 12,12번 출구입니다.,지하철 계단 곳 1212번 출구입니다.
347,지하철 계단 12 무엇 ?,12번 출구는 어디에 있나요?,지하철 계단 12 무엇 ?12번 출구는 어디에 있나요?
348,종로 가다,종로역입니다.,종로 가다종로역입니다.
349,종로 가다 방법 ?,종로역으로 어떻게 가나요?,종로 가다 방법 ?종로역으로 어떻게 가나요?
350,지하철 곳 9호,9호선 타는 곳입니다.,지하철 곳 9호9호선 타는 곳입니다.
351,9호 곳곳 ?,9호선 타는 곳은 어디에 있나요?,9호 곳곳 ?9호선 타는 곳은 어디에 있나요?
352,지하철 곳 8호,8호선 타는 곳입니다.,지하철 곳 8호8호선 타는 곳입니다.
353,8호 곳곳 ?,8호선 타는 곳은 어디에 있나요?,8호 곳곳 ?8호선 타는 곳은 어디에 있나요?
354,막차 시간 ?,막차는 몇 시인가요?,막차 시간 ?막차는 몇 시인가요?
355,첫차 시간 ?,첫차는 몇 시인가요?,첫차 시간 ?첫차는 몇 시인가요?
356,다음 몇분 ?,다음 역까지 몇 분 걸리나요?,다음 몇분 ?다음 역까지 몇 분 걸리나요?
357,오늘 하루 수고,오늘도 수고 많으셨습니다.,오늘 하루 수고오늘도 수고 많으셨습니다.
358,만나다 반갑다,만나서 반갑습니다.,만나다 반갑다만나서 반갑습니다.
359,50분 정도,50분 정도 소요됩니다.,50분 정도50분 정도 소요됩니다.
360,도착 몇분 ?,도착하려면 몇 분 남았을까요?,도착 몇분 ?도착하려면 몇 분 남았을까요?
361,대략 40분,대략 40분입니다.,대략 40분대략 40분입니다.
362,도착 40분 ?,40분 뒤에 도착하나요?,도착 40분 ?40분 뒤에 도착하나요?
363,계산 남다 돈받다,잔돈주세요.,계산 남다 돈받다잔돈주세요.
364,계산 남다 돈주다 ?,잔돈드릴까요?,계산 남다 돈주다 ?잔돈드릴까요?
365,계산 틀리다,금액이 맞지않습니다.,계산 틀리다금액이 맞지않습니다.
366,계산 잘못하다 ?,금액이 맞지않나요?,계산 잘못하다 ?금액이 맞지않나요?
367,지금 내리다,여기서 내리겠습니다.,지금 내리다여기서 내리겠습니다.
368,지금 내리다 ?,여기서 내리시겠습니까?,지금 내리다 ?여기서 내리시겠습니까?
369,도착 가능 몇분 ?,몇 분 뒤에 도착할까요?,도착 가능 몇분 ?몇 분 뒤에 도착할까요?
370,용산역 접근 주차,용산역 근처에 주차하겠습니다.,용산역 접근 주차용산역 근처에 주차하겠습니다.
371,용산역 주차 되다 ?,용산역에 주차할 수 있나요?,용산역 주차 되다 ?용산역에 주차할 수 있나요?
372,어린이집 주차,어린이집에 주차하겠습니다.,어린이집 주차어린이집에 주차하겠습니다.
373,어린이집 주차 되다 ?,어린이집에 주차할 수 있나요?,어린이집 주차 되다 ?어린이집에 주차할 수 있나요?
374,학교 주차,학교에 주차하겠습니다.,학교 주차학교에 주차하겠습니다.
375,학교 주차 되다 ?,학교에 주차할 수 있나요?,학교 주차 되다 ?학교에 주차할 수 있나요?
376,다음 몇분 ?,몇 분 뒤에 다음 역에 도착할까요?,다음 몇분 ?몇 분 뒤에 다음 역에 도착할까요?
377,지하철 갈아타다 몇호 ?,몇 호선으로 갈아타야 하나요?,지하철 갈아타다 몇호 ?몇 호선으로 갈아타야 하나요?
378,지하철 단말기터치 안되다,교통카드가 찍히지 않습니다.,지하철 단말기터치 안되다교통카드가 찍히지 않습니다.
379,지하철 단말기터치 안되다 ?,교통카드가 안 찍히나요?,지하철 단말기터치 안되다 ?교통카드가 안 찍히나요?
380,병원 주차,병원에 주차하겠습니다.,병원 주차병원에 주차하겠습니다.
381,병원 주차 ?,병원에 주차하시겠습니까?,병원 주차 ?병원에 주차하시겠습니까?
382,지하철 안 없다,지하철 안에 없습니다.,지하철 안 없다지하철 안에 없습니다.
383,지하철 안 없다 ?,지하철 안에 없나요?,지하철 안 없다 ?지하철 안에 없나요?
384,표지판 보다 찾다,저 표지판 표시를 따라가면 됩니다.,표지판 보다 찾다저 표지판 표시를 따라가면 됩니다.
387,지하철 반대 건너다 가다,반대편 승차장으로 가려고 합니다.,지하철 반대 건너다 가다반대편 승차장으로 가려고 합니다.
391,어지럽다 쓰러지다,어지러워 쓰러졌습니다.,어지럽다 쓰러지다어지러워 쓰러졌습니다.
392,어지럽다 쓰러지다 ?,어지러워서 쓰러지신건가요?,어지럽다 쓰러지다 ?어지러워서 쓰러지신건가요?
393,배 위쪼이다 아프다,배가 꼬이듯 아픕니다.,배 위쪼이다 아프다배가 꼬이듯 아픕니다.
394,배 아프다 ?,배가 아프세요?,배 아프다 ?배가 아프세요?
395,지하철 철로 가방 떨어지다,선로에 가방을 떨어뜨렸습니다.,지하철 철로 가방 떨어지다선로에 가방을 떨어뜨렸습니다.
396,지하철 철로 물건 떨어지다,선로에 물건을 떨어뜨렸습니다.,지하철 철로 물건 떨어지다선로에 물건을 떨어뜨렸습니다.
401,연착 확인증 필요,연착 지연 증명서 발급해주세요.,연착 확인증 필요연착 지연 증명서 발급해주세요.
402,잠깐 기다리다,잠깐 기다려주세요.,잠깐 기다리다잠깐 기다려주세요.
403,잠깐 기다리다 괜찮다 ?,잠깐 기다려주실 수 있나요?,잠깐 기다리다 괜찮다 ?잠깐 기다려주실 수 있나요?
404,저기 쓰러지다,저기에 사람이 쓰러져 있어요.,저기 쓰러지다저기에 사람이 쓰러져 있어요.
406,아이 혼자 방황,아이가 혼자 방황하고 있습니다.,아이 혼자 방황아이가 혼자 방황하고 있습니다.
407,뒤 차따라가다,앞 차 따라가 주세요.,뒤 차따라가다앞 차 따라가 주세요.
408,차따라가다 ?,앞 차를 따라갈까요?,차따라가다 ?앞 차를 따라갈까요?
409,교통카드 충전,교통카드 충전해주세요.,교통카드 충전교통카드 충전해주세요.
410,교통카드 충전 되다 ?,교통카드 충전 되나요?,교통카드 충전 되다 ?교통카드 충전 되나요?
411,지하철 정기권 사다 원하다,정기승차권을 사고 싶습니다.,지하철 정기권 사다 원하다정기승차권을 사고 싶습니다.
415,미리 카드,선승인하겠습니다.,미리 카드선승인하겠습니다.
416,미리 카드 ?,선승인하시겠습니까?,미리 카드 ?선승인하시겠습니까?
417,은행 번호 받다,계좌번호 알려주세요,은행 번호 받다계좌번호 알려주세요
418,은행 번호 필요 ?,계좌번호 알려드릴까요?,은행 번호 필요 ?계좌번호 알려드릴까요?
425,지하철 가다 빨리 방법 ?,어떻게 가는 것이 빠른가요?,지하철 가다 빨리 방법 ?어떻게 가는 것이 빠른가요?
426,물건 잃어버리다,물건을 잃어버렸습니다.,물건 잃어버리다물건을 잃어버렸습니다.
428,지하철 곳 카페 있다,역사 안에 커피숍이 있습니다.,지하철 곳 카페 있다역사 안에 커피숍이 있습니다.
429,지하철 곳 카페 있다 ?,역사 안에 커피숍이 있나요?,지하철 곳 카페 있다 ?역사 안에 커피숍이 있나요?
430,지하철 곳 편의점 있다,역사 안에 편의점이 있습니다.,지하철 곳 편의점 있다역사 안에 편의점이 있습니다.
431,지하철 곳 편의점 있다 ?,역사 안에 편의점이 있나요?,지하철 곳 편의점 있다 ?역사 안에 편의점이 있나요?
432,지하철 곳 옷가게 있다,역사 안에 옷가게가 있습니다.,지하철 곳 옷가게 있다역사 안에 옷가게가 있습니다.
433,지하철 곳 옷가게 있다 ?,역사 안에 옷가게가 있나요?,지하철 곳 옷가게 있다 ?역사 안에 옷가게가 있나요?
434,돈 남다 충분,잔액이 충분합니다.,돈 남다 충분잔액이 충분합니다.
436,막차 시간 ?,막차는 몇 시인가요?,막차 시간 ?막차는 몇 시인가요?
437,첫차 시간 ?,첫차는 몇 시인가요?,첫차 시간 ?첫차는 몇 시인가요?
438,1호 첫차 시간 ?,1호선 첫차는 몇 시인가요?,1호 첫차 시간 ?1호선 첫차는 몇 시인가요?
439,분당 첫차 시간 ?,분당선 첫차는 몇 시인가요?,분당 첫차 시간 ?분당선 첫차는 몇 시인가요?
440,무엇 ?,어떤거요?,무엇 ?어떤거요?
441,이름 무엇 ?,이름이 어떻게 되세요?,이름 무엇 ?이름이 어떻게 되세요?
442,곳곳 ?,어디요?,곳곳 ?어디요?
443,누구 ?,누구요?,누구 ?누구요?
444,어떻게 ?,어떻게 하나요?,어떻게 ?어떻게 하나요?
445,왜 ?,왜요?,왜 ?왜요?
446,지하철 몇호 ?,몇 호선인가요?,지하철 몇호 ?몇 호선인가요?
447,몇사람 ?,몇 명이신가요?,몇사람 ?몇 명이신가요?
448,여기 몇호 ?,여기가 몇 호선인가요?,여기 몇호 ?여기가 몇 호선인가요?
449,지하철 안 냄새,객실에서 불쾌한 냄새가 납니다.,지하철 안 냄새객실에서 불쾌한 냄새가 납니다.
451,불편하다 있다 신고,불편한 점이 있으시면 민원을 넣으세요.,불편하다 있다 신고불편한 점이 있으시면 민원을 넣으세요.
452,불편하다 신고 곳 ?,민원은 어디에 넣나요?,불편하다 신고 곳 ?민원은 어디에 넣나요?
453,핸드폰 잃어버리다 찾다,잃어버린 휴대폰을 찾습니다.,핸드폰 잃어버리다 찾다잃어버린 휴대폰을 찾습니다.
454,고속 빨리,고속도로가 빠릅니다.,고속 빨리고속도로가 빠릅니다.
455,고속 빨리 ?,고속도로가 빠른가요?,고속 빨리 ?고속도로가 빠른가요?
456,시간 지연되다 몇분 ?,몇 분 지연되었나요?,시간 지연되다 몇분 ?몇 분 지연되었나요?
457,지하철 문 여기 번호 ?,몇 번에서 타면 되나요?,지하철 문 여기 번호 ?몇 번에서 타면 되나요?
458,안녕하세요,안녕하세요.,안녕하세요안녕하세요.
459,감사합니다,감사합니다.,감사합니다감사합니다.
460,미안합니다,죄송합니다.,미안합니다죄송합니다.
461,조심,조심하세요.,조심조심하세요.
462,여기 맞다,여기가 맞습니다.,여기 맞다여기가 맞습니다.
463,여기 내리다 맞다,여기서 내리는 것이 맞습니다.,여기 내리다 맞다여기서 내리는 것이 맞습니다.
464,갈아타다 곳 맞다,갈아타는 곳이 맞습니다.,갈아타다 곳 맞다갈아타는 곳이 맞습니다.
465,타다 곳 맞다 ?,타는 곳이 맞나요?,타다 곳 맞다 ?타는 곳이 맞나요?
466,여기 내리다 맞다 ?,여기서 내리는 것이 맞나요?,여기 내리다 맞다 ?여기서 내리는 것이 맞나요?
467,여기 갈아타다 맞다,여기서 갈아타는 것이 맞습니다.,여기 갈아타다 맞다여기서 갈아타는 것이 맞습니다.
468,내리다 갈아타다 가능,여기서 갈아탈 수 있습니다.,내리다 갈아타다 가능여기서 갈아탈 수 있습니다.
469,내리다 갈아타다 가능 ?,여기서 갈아탈 수 있나요?,내리다 갈아타다 가능 ?여기서 갈아탈 수 있나요?
470,1호 맞다,1호선이 맞습니다.,1호 맞다1호선이 맞습니다.
471,1호 맞다 ?,1호선이 맞나요?,1호 맞다 ?1호선이 맞나요?
472,1호 갈아타다,1호선으로 갈아타세요.,1호 갈아타다1호선으로 갈아타세요.
473,1호 갈아타다 ?,1호선으로 갈아타세요?,1호 갈아타다 ?1호선으로 갈아타세요?
474,도착 10분,10분 뒤에 도착합니다.,도착 10분10분 뒤에 도착합니다.
475,도착 10분 ?,10분 뒤에 도착하나요?,도착 10분 ?10분 뒤에 도착하나요?
476,도착 1시,1시에 도착합니다.,도착 1시1시에 도착합니다.
477,도착 1시 ?,1시에 도착하나요?,도착 1시 ?1시에 도착하나요?
478,도착 10분 전,10분 내로 도착합니다.,도착 10분 전10분 내로 도착합니다.
479,도착 10분 전 ?,10분 내로 도착하나요?,도착 10분 전 ?10분 내로 도착하나요?
480,도착 1시간 전,1시간 내로 도착합니다.,도착 1시간 전1시간 내로 도착합니다.
481,도착 1시간 전 ?,1시간 내로 도착하나요?,도착 1시간 전 ?1시간 내로 도착하나요?
482,도착 3시,3시에 도착합니다.,도착 3시3시에 도착합니다.
483,도착 3시 ?,3시에 도착하나요?,도착 3시 ?3시에 도착하나요?
484,도착 시간 딱,제시간에 도착합니다.,도착 시간 딱제시간에 도착합니다.
485,도착 시간 딱 ?,제시간에 도착하나요?,도착 시간 딱 ?제시간에 도착하나요?
490,길 곳곳 도움받다,길 찾는 것 좀 도와주세요.,길 곳곳 도움받다길 찾는 것 좀 도와주세요.
491,길 안내하다 도와주다 ?,길 찾는 것 좀 도와드릴까요?,길 안내하다 도와주다 ?길 찾는 것 좀 도와드릴까요?
497,도착 알려받다,도착하면 알려주세요.,도착 알려받다도착하면 알려주세요.
498,도착 알려받다 ?,도착하면 알려주시나요?,도착 알려받다 ?도착하면 알려주시나요?
499,도착 시간 알려받다,도착 시간 좀 알려주세요.,도착 시간 알려받다도착 시간 좀 알려주세요.
500,도착 시간 알려주다 ?,도착 시간을 알려드릴까요?,도착 시간 알려주다 ?도착 시간을 알려드릴까요?
501,도착 곳 알려받다,목적지를 알려주세요.,도착 곳 알려받다목적지를 알려주세요.
502,도착 곳 알려주다 ?,목적지를 알려드릴까요?,도착 곳 알려주다 ?목적지를 알려드릴까요?
